date,rating,hoursslept,onsetlatency,awakenings,awakeningsPerHour,fromTime,wakeTime
22.03.2016,2.75,7.890,3320,24,3.0418250950570345,1:46,22. 03. 2016 9:40
21.03.2016,3.5,5.380,1910,23,4.275092936802974,1:23,21. 03. 2016 9:46
20.03.2016,2.25,7.870,1450,10,1.2706480304955527,1:33,20. 03. 2016 9:26
19.03.2016,none,6.470,2070,9,1.3910355486862442,4:02,19. 03. 2016 10:30
15.03.2016,2.75,7.960,1640,20,2.512562814070352,2:02,15. 03. 2016 10:00
17.03.2016,2.75,7.850,2000,14,1.78343949044586,1:18,17. 03. 2016 9:09
16.03.2016,3.0,5.540,2570,16,2.888086642599278,1:02,16. 03. 2016 9:34
15.03.2016,1.5,6.860,2890,16,2.332361516034985,2:47,15. 03. 2016 9:38
14.03.2016,2.0,7.070,610,21,2.9702970297029703,0:03,14. 03. 2016 7:07
13.03.2016,1.0,6.470,1890,9,1.3910355486862442,3:12,13. 03. 2016 9:40
12.03.2016,2.0,7.810,4790,19,2.4327784891165174,1:56,12. 03. 2016 9:45
11.03.2016,1.75,7.660,3420,19,2.4804177545691903,0:54,11. 03. 2016 8:34
10.03.2016,1.75,7.610,1420,19,2.4967148488830486,1:16,10. 03. 2016 8:52
09.03.2016,3.5,5.100,970,18,3.5294117647058827,0:53,09. 03. 2016 8:59
05.03.2016,3.0,7.970,980,9,1.1292346298619824,1:00,05. 03. 2016 8:59
07.03.2016,2.25,7.790,6030,18,2.310654685494223,0:33,07. 03. 2016 8:21
06.03.2016,2.75,7.910,860,14,1.7699115044247786,1:15,06. 03. 2016 9:09
05.03.2016,3.0,7.720,1970,16,2.072538860103627,1:10,05. 03. 2016 8:54
04.03.2016,3.25,5.930,1080,16,2.69814502529511,0:16,04. 03. 2016 9:11
03.03.2016,3.0,7.600,3780,17,2.236842105263158,1:40,03. 03. 2016 9:16
02.03.2016,3.0,5.340,1370,26,4.868913857677903,1:30,02. 03. 2016 9:50
01.03.2016,3.0,7.630,1550,24,3.145478374836173,1:21,01. 03. 2016 8:59
29.02.2016,3.0,7.810,90,26,3.329065300896287,1:01,29. 02. 2016 8:50
25.02.2016,2.0,7.440,210,18,2.4193548387096775,1:25,25. 02. 2016 8:51
27.02.2016,3.0,7.390,8890,17,2.300405953991881,2:11,27. 02. 2016 9:34
26.02.2016,3.75,5.370,60,19,3.538175046554935,1:40,26. 02. 2016 10:02
25.02.2016,4.5,5.180,50,20,3.8610038610038613,1:09,25. 02. 2016 9:20
24.02.2016,3.5,7.890,410,11,1.394169835234474,1:33,24. 02. 2016 9:26
23.02.2016,3.75,7.960,180,15,1.8844221105527639,0:56,23. 02. 2016 8:54
21.02.2016,none,5.880,410,23,3.9115646258503403,23:59,22. 02. 2016 8:51
20.02.2016,2.0,9.120,770,12,1.3157894736842106,23:51,21. 02. 2016 8:58
20.02.2016,2.0,5.710,530,13,2.276707530647986,2:27,20. 02. 2016 8:10
19.02.2016,3.5,6.740,2630,14,2.0771513353115725,1:45,19. 02. 2016 8:30
15.02.2016,3.5,5.110,1550,10,1.9569471624266144,1:14,15. 02. 2016 9:21
17.02.2016,2.75,5.240,1450,14,2.6717557251908395,1:47,17. 02. 2016 10:01
16.02.2016,3.5,7.260,5130,20,2.7548209366391188,1:15,16. 02. 2016 8:31
15.02.2016,3.0,7.440,1180,15,2.0161290322580645,1:49,15. 02. 2016 9:15
14.02.2016,3.0,7.380,550,11,1.4905149051490516,2:05,14. 02. 2016 9:28
13.02.2016,2.75,7.060,4810,17,2.407932011331445,2:26,13. 02. 2016 9:29
12.02.2016,2.0,7.970,2000,22,2.7603513174404015,0:12,12. 02. 2016 8:10
11.02.2016,2.0,5.690,1440,26,4.569420035149385,0:58,11. 02. 2016 9:39
10.02.2016,4.0,5.570,1150,19,3.4111310592459603,0:57,10. 02. 2016 9:31
09.02.2016,3.0,5.290,4290,20,3.780718336483932,1:14,09. 02. 2016 9:31
05.02.2016,3.0,5.190,3410,28,5.394990366088631,2:08,05. 02. 2016 10:20
07.02.2016,2.75,7.640,3530,25,3.2722513089005236,2:02,07. 02. 2016 9:41
06.02.2016,none,5.020,1820,13,2.5896414342629486,1:34,06. 02. 2016 9:35
05.02.2016,none,7.700,2010,16,2.0779220779220777,1:02,05. 02. 2016 8:44
