"","ratings","awakeningsPerHour","onsetlatency"
"#earlycaffeine","-0.041165444528499684","0.1884598097148264","0.18344521461833352"
"hoursslept","-0.35384311355766002","-0.60153440975370742","-0.10956559730619438"
"#whitenoise","-0.1316651417981417","-0.10736841575609316","0.091393150537100662"
"#brightroom","0.23808673443983613","0.097518907153892803","0.0037295208587017049"
"alarm","0.0012311779468546723","0.42122605188201251","0.22993965159671401"
"waketime","0.35321918397481172","0.26324352547403823","0.072168580873674074"
"#earlyexercise","-0.14367250350157312","-0.12661135460781328","-0.17195354946203317"
"#relaxalone","0.0","0.0","0.0"
"#latecaffeine","-0.089058759687081518","0.045032075050438422","-0.13503478204041508"
"bedtime","0.0093081503686864072","-0.11799403813101243","0.25191931766971237"
"consistency","0.0093081503686863708","-0.11799403813101271","0.25191931766971254"
"#stress","0.007160503291423639","-0.29313155829520704","-0.16002977782405453"
"#lateexcercise","0.094395252365895535","-0.057248385728228643","0.095041407658108978"
"noisiness","-0.04536626553460784","0.45059801995197252","0.20599380531168462"
