,,,,,,,,
Independent,Dependent,Correlation,Average,Recommendation text,,,ALTERNATIVE REC 1,ALTERNATIVE REC 2
bedtime,rating,positive,"On average, you go to bed around average_bedtime",. We've noticed that when you sleep around optimal_bedtime,", you are on average more refreshed. For the next FEW days, try going to bed around optimal_bedtime. ",,"On average you take average_onsetlatency minutes to fall asleep. If you are taking more than 20 minutes to fall asleep, try the 4-7-8 rule: 1) Breathe calmly in through your nose for 4 seconds. 2) Hold your breath and count to 7. 3) Breathe out slowly through your mouth for 8 seconds. This will help you fall asleep faster and maximize your sleep time. Add tag #478 if you follow this rec.",On average you wake up average_awakenings times per hour. 
bedtime,rating,negative,"On average, you go to bed around average_bedtime",. We've noticed that when you sleep around optimal_bedtime,", you are on average more refreshed. For the next FEW days, try going to bed around optimal_bedtime. ",,"On average you take average_onsetlatency minutes to fall asleep. If you are taking more than 20 minutes to fall asleep, try the 4-7-8 rule: 1) Breathe calmly in through your nose for 4 seconds. 2) Hold your breath and count to 7. 3) Breathe out slowly through your mouth for 8 seconds. This will help you fall asleep faster and maximize your sleep time. Add tag #478 if you follow this rec.",
bedtime,onsetlatency,positive,"On average, you go to bed around average_bedtime",. We've noticed that when you sleep around optimal_bedtime,", you tend to fall asleep faster. For the next FEW days, try going to bed around optimal_bedtime.",,"On average you take average_onsetlatency minutes to fall asleep. If you are taking more than 20 minutes to fall asleep, try the 4-7-8 rule: 1) Breathe calmly in through your nose for 4 seconds. 2) Hold your breath and count to 7. 3) Breathe out slowly through your mouth for 8 seconds. This will help you fall asleep faster and maximize your sleep time. Add tag #478 if you follow this rec.",
bedtime,onsetlatency,negative,"On average, you go to bed around average_bedtime",. We've noticed that when you sleep around optimal_bedtime,", you tend to fall asleep faster. For the next FEW days, try going to bed around optimal_bedtime.",,"On average you take average_onsetlatency minutes to fall asleep. If you are taking more than 20 minutes to fall asleep, try the 4-7-8 rule: 1) Breathe calmly in through your nose for 4 seconds. 2) Hold your breath and count to 7. 3) Breathe out slowly through your mouth for 8 seconds. This will help you fall asleep faster and maximize your sleep time. Add tag #478 if you follow this rec.",
bedtime,awakenings,positive,"On average, you go to bed around average_bedtime",. We've noticed that when you sleep around optimal_bedtime,", you tend to take wake up less during the night. For the next FEW days, try going to bed around optimal_bedtime.",,"On average you take average_onsetlatency minutes to fall asleep. If you are taking more than 20 minutes to fall asleep, try the 4-7-8 rule: 1) Breathe calmly in through your nose for 4 seconds. 2) Hold your breath and count to 7. 3) Breathe out slowly through your mouth for 8 seconds. This will help you fall asleep faster and maximize your sleep time. Add tag #478 if you follow this rec.",
bedtime,awakenings,negative,"On average, you go to bed around average_bedtime",. We've noticed that when you sleep around optimal_bedtime,", you tend to take wake up less during the night. For the next FEW days, try going to bed around optimal_bedtime.",,"On average you take average_onsetlatency minutes to fall asleep. If you are taking more than 20 minutes to fall asleep, try the 4-7-8 rule: 1) Breathe calmly in through your nose for 4 seconds. 2) Hold your breath and count to 7. 3) Breathe out slowly through your mouth for 8 seconds. This will help you fall asleep faster and maximize your sleep time. Add tag #478 if you follow this rec.",
,,,,,,,,
,,,,,,,,
waketime,rating,positive,"On average, you wake up around average_waketime",. We've noticed that when you wake up around optimal_waketime,", you are more refreshed. For the next FEW days, try waking up around optimal_waketime. On weekends you can sleep in at most an hour later than optimal_waketime.",,,
waketime,rating,negative,"On average, you wake up around average_waketime",. We've noticed that when you wake up around optimal_waketime,", you are more refreshed. For the next FEW days, try waking up around optimal_waketime. On weekends you can sleep in at most an hour later than optimal_waketime.",,,
waketime,onsetlatency,positive,"On average, you wake up around average_waketime",. We've noticed that when you wake up around optimal_waketime,", you tend to fall asleep faster on the next evening. For the next FEW days, try waking up around optimal_waketime to decrease the time it takes you to fall asleep. On weekends you can sleep in at most an hour later than optimal_waketime.",,,
waketime,onsetlatency,negative,"On average, you wake up around average_waketime",. We've noticed that when you wake up around optimal_waketime,", you tend to fall asleep faster on the next evening. For the next FEW days, try waking up around optimal_waketime to decrease the time it takes you to fall asleep. On weekends you can sleep in at most an hour later than optimal_waketime.",,,
waketime,awakenings,positive,"On average, you wake up around average_waketime",. We've noticed that when you wake up around optimal_waketime,", you tend to take wake up less during the night. For the next FEW days, try waking up around optimal_waketime. On weekends you can sleep in at most an hour later than optimal_waketime.",,,
waketime,awakenings,negative,"On average, you wake up around average_waketime",. We've noticed that when you wake up around optimal_waketime,", you tend to take wake up less during the night. For the next FEW days, try waking up around optimal_waketime. On weekends you can sleep in at most an hour later than optimal_waketime.",,,
,,,,,,,,
hoursslept,rating,positive,"On average, you sleep for average_hoursslept", hours. We've noticed that when you get optimal_hoursslept," hours of sleep, you are on average more refreshed. For the next FEW days, try getting optimal_hoursslept hours of sleep. That might mean that you have to go to bed earlier than usual, so plan ahead to get optimal_hoursslept hours of sleep every night. ",,,
hoursslept,rating,negative,"On average, you sleep for average_hoursslept", hours. We've noticed that when you get optimal_hoursslept," hours of sleep, you are on average more refreshed. For the next FEW days, try getting optimal_hoursslept hours of sleep. That might mean that you have to go to bed earlier than usual, so plan ahead to get optimal_hoursslept hours of sleep every night. ",,,
hoursslept,onsetlatency,positive,"On average, you sleep for average_hoursslept", hours. We've noticed that when you get optimal_hoursslept," you tend to fall asleep faster on the next evening. For the next FEW days, try getting optimal_hoursslept hours of sleep to reduce the time it takes you to fall asleep on the next night of sleep. That might mean that you have to go to bed earlier than usual, so plan ahead to get optimal_hoursslept hours of sleep every night. ",,,
hoursslept,onsetlatency,negative,"On average, you sleep for average_hoursslept", hours. We've noticed that when you get optimal_hoursslept," you tend to fall asleep faster on the next evening. For the next FEW days, try getting optimal_hoursslept hours of sleep to reduce the time it takes you to fall asleep on the next night of sleep. That might mean that you have to go to bed earlier than usual, so plan ahead to get optimal_hoursslept hours of sleep every night. ",,,
hoursslept,awakenings,positive,"On average, you sleep for average_hoursslept", hours. We've noticed that when you get more ," hours of sleep, you tend to wake up more during the night. For the next FEW days,  try getting optimal_hoursslept hours of sleep to get the most out of your sleep. That might mean that you have to go to bed earlier than usual, so plan ahead to get optimal_hoursslept hours of sleep every night. ",,,
hoursslept,awakenings,negative,"On average, you sleep for average_hoursslept", hours. We've noticed that when you get more ," hours of sleep, you tend to wake up less during the night. For the next FEW days, try getting optimal_hoursslept hours of sleep to get the most out of your sleep. That might mean that you have to go to bed earlier than usual, so plan ahead to get optimal_hoursslept hours of sleep every night. ",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
consistency,rating,positive,"On average, you go to bed at average_bedtime",". We've noticed that when your bedtime is consistent you are more refreshed. For the next FEW days, try going to bed at a consistent bedtime, around average_bedtime.",,,,
consistency,rating,negative,"On average, you go to bed at average_bedtime",". We've noticed that when your bedtime is consistent you are more refreshed. For the next FEW days, try going to bed at a consistent bedtime, around average_bedtime.",,,,
